,event,name,date,bouts,link
0,Contender Series 2020,Week 10,2020.08.25,0,/fightcenter/events/68353-contender-series-2020-week-10
1,Contender Series 2020,Week 9,2020.08.18,0,/fightcenter/events/68352-contender-series-2020-week-9
2,UFC Fight Night,,2020.08.15,1,/fightcenter/events/67159-ufc-on-espn
3,Contender Series 2020,Week 8,2020.08.11,0,/fightcenter/events/68351-contender-series-2020-week-8
4,Contender Series 2020,Week 7,2020.08.04,0,/fightcenter/events/68350-contender-series-2020-week-7
5,UFC Fight Night,,2020.08.01,1,/fightcenter/events/69945-ufc-fight-night
6,Contender Series 2020,Week 6,2020.07.28,0,/fightcenter/events/68349-contender-series-2020-week-6
7,UFC Fight Night,Whittaker vs. Till,2020.07.25,2,/fightcenter/events/69764-ufc-fight-night
8,Contender Series 2020,Week 5,2020.07.21,0,/fightcenter/events/68348-contender-series-2020-week-5
9,UFC Fight Night,Figueiredo vs. Benavidez 2,2020.07.18,3,/fightcenter/events/69705-ufc-fight-night
10,UFC Fight Night,,2020.07.15,2,/fightcenter/events/70017-ufc-fight-night
11,Contender Series 2020,Week 4,2020.07.14,0,/fightcenter/events/68347-contender-series-2020-week-4
12,UFC 251,,2020.07.11,3,/fightcenter/events/67725-ufc-252
13,Contender Series 2020,Week 3,2020.07.07,0,/fightcenter/events/68346-contender-series-2020-week-3
14,Contender Series 2020,Week 2,2020.06.30,0,/fightcenter/events/68345-contender-series-2020-week-2
15,UFC Fight Night,Poirier vs. Hooker,2020.06.27,4,/fightcenter/events/67596-ufc-on-espn
16,Contender Series 2020,Week 1,2020.06.23,1,/fightcenter/events/68344-contender-series-2020-week-1
17,UFC Fight Night,Blaydes vs. Volkov,2020.06.20,9,/fightcenter/events/67608-ufc-on-espn
18,UFC Fight Night,Eye vs. Calvillo,2020.06.13,7,/fightcenter/events/67562-ufc-on-espn
19,UFC 250,Nunes vs. Spencer,2020.06.06,12,/fightcenter/events/67364-ufc-251
20,UFC Fight Night,Woodley vs. Burns,2020.05.30,11,/fightcenter/events/69127-ufc-fight-night
21,UFC Fight Night,Overeem vs. Harris,2020.05.16,11,/fightcenter/events/67412-ufc-on-espn-33
22,UFC Fight Night,Smith vs. Teixeira,2020.05.13,10,/fightcenter/events/69126-ufc-fight-night
23,UFC 249,Ferguson vs. Gaethje,2020.05.09,11,/fightcenter/events/66312-ufc-250
24,UFC on ESPN+ 32 (cancelled),,2020.05.02,0,/fightcenter/events/67068-ufc-on-espn-32
25,UFC on ESPN+ 31,Smith vs. Teixeira (cancelled),2020.04.25,0,/fightcenter/events/66414-ufc-on-espn-31-smith-vs-teixeira
26,UFC 249,Ferguson vs. Gaethje (cancelled),2020.04.18,0,/fightcenter/events/64603-ufc-249
27,UFC on ESPN+ 30,Overeem vs. Harris (Cancelled),2020.04.11,0,/fightcenter/events/65431-ufc-on-espn-30
28,UFC on ESPN 8,N'Gannou vs. Rozenstruik (Cancelled),2020.03.28,0,/fightcenter/events/65131-ufc-on-espn-29
29,UFC on ESPN+ 29,Woodley vs. Edwards (Cancelled),2020.03.21,0,/fightcenter/events/64602-ufc-on-espn-27
30,UFC on ESPN+ 28,Lee vs. Oliveira,2020.03.14,12,/fightcenter/events/64600-ufc-on-espn-26
31,UFC 248,Adesanya vs. Romero,2020.03.07,11,/fightcenter/events/64599-ufc-248
33,UFC on ESPN+ 27,Benavidez vs. Figueiredo,2020.02.29,12,/fightcenter/events/65142-ufc-on-espn-27
34,UFC on ESPN+ 26,Felder vs. Hooker,2020.02.22,12,/fightcenter/events/64478-ufc-on-espn
35,UFC on ESPN+ 25,Anderson vs. Błachowicz 2,2020.02.15,13,/fightcenter/events/64635-ufc-on-espn
36,UFC 247,Jones vs. Reyes,2020.02.08,12,/fightcenter/events/64388-ufc-on-espn
37,UFC on ESPN+ 24,Blaydes vs. Dos Santos,2020.01.25,12,/fightcenter/events/64361-ufc-on-espn-24
38,UFC 246,McGregor vs. Cerrone,2020.01.18,11,/fightcenter/events/63997-ufc-fight-night
41,UFC on ESPN+ 23,Edgar vs. Korean Zombie,2019.12.21,13,/fightcenter/events/60327-ufc-on-espn-23
42,UFC 245,Usman vs. Covington,2019.12.14,13,/fightcenter/events/60326-ufc-245
43,UFC on ESPN 7,Overeem vs. Rozenstruik,2019.12.07,12,/fightcenter/events/60325-ufc-on-espn-6
44,UFC on ESPN+ 22,Blachowicz vs. Jacare,2019.11.16,12,/fightcenter/events/60323-ufc-on-espn-21
45,UFCA Combat 1,,2019.11.09,9,/fightcenter/events/64269-ufca-combat-1
46,UFC on ESPN+ 21,Magomedsharipov vs. Kattar,2019.11.09,13,/fightcenter/events/61626-ufc-on-espn-21
47,UFC 244,Masvidal vs. Diaz,2019.11.02,12,/fightcenter/events/60322-ufc-244
48,UFC on ESPN+ 20,Maia vs. Askren,2019.10.26,11,/fightcenter/events/60321-ufc-on-espn-20
50,UFC on ESPN 6,Reyes vs. Weidman,2019.10.18,13,/fightcenter/events/60320-ufc-on-espn-2
51,UFC on ESPN+ 19,Joanna vs. Waterson,2019.10.12,14,/fightcenter/events/60319-ufc-on-espn-19
52,UFC 243,Whittaker vs. Adesanya,2019.10.05,11,/fightcenter/events/60318-ufc-243
54,UFC on ESPN+ 18,Hermansson vs. Cannonier,2019.09.28,13,/fightcenter/events/60317-ufc-on-espn-18
55,UFC on ESPN+ 17,Rodriguez vs. Stephens,2019.09.21,12,/fightcenter/events/60316-ufc-on-espn-17
56,UFC on ESPN+ 16,Cowboy vs. Gaethje,2019.09.14,12,/fightcenter/events/60315-ufc-on-espn-16
57,UFC 242,Khabib vs. Poirier,2019.09.07,13,/fightcenter/events/60004-ufc-242
58,UFC on ESPN+ 15,Andrade vs. Zhang,2019.08.31,11,/fightcenter/events/60314-ufc-on-espn-15
59,Contender Series 2019,Week 10,2019.08.27,5,/fightcenter/events/61011-dw-s-contender-series-week-10
60,Contender Series 2019,Week 9,2019.08.20,5,/fightcenter/events/60000-dw-s-contender-series-2019-week-10
61,UFC 241,Cormier vs. Miocic 2,2019.08.17,12,/fightcenter/events/59522-ufc-241
63,Contender Series 2019,Week 8,2019.08.13,5,/fightcenter/events/59999-dw-s-contender-series-2019-week-9
64,UFC on ESPN+ 14,Shevchenko vs. Carmouche 2,2019.08.10,13,/fightcenter/events/60313-ufc-on-espn-14
65,Contender Series 2019,Week 7,2019.08.06,5,/fightcenter/events/59998-dw-s-contender-series-2019-week-8
66,UFC on ESPN 5,Covington vs. Lawler,2019.08.03,12,/fightcenter/events/60312-ufc-on-espn-5-covington-vs-lawler
67,Contender Series 2019,Week 6,2019.07.30,5,/fightcenter/events/59499-dw-s-contender-series-2019-week-7
68,UFC 240,Holloway vs. Edgar,2019.07.27,11,/fightcenter/events/59521-ufc-240
69,Contender Series 2019,Week 5,2019.07.23,5,/fightcenter/events/59498-dw-s-contender-series-2019-week-6
70,UFC on ESPN 4,Dos Anjos vs. Edwards,2019.07.20,13,/fightcenter/events/60311-ufc-on-espn-4
72,Contender Series 2019,Week 4,2019.07.16,5,/fightcenter/events/59497-dw-s-contender-series-2019-week-5
73,UFC on ESPN+ 13,De Randamie vs. Ladd,2019.07.13,12,/fightcenter/events/59896-ufc-on-espn-13
75,Contender Series 2019,Week 3,2019.07.09,5,/fightcenter/events/59496-dw-s-contender-series-2019-week-4
76,UFC 239,Jones vs. Santos,2019.07.06,12,/fightcenter/events/58831-ufc-239
77,UFC on ESPN 3,N'Gannou vs. Dos Santos,2019.06.29,12,/fightcenter/events/57513-ufc-on-espn-4
78,Contender Series 2019,Week 2,2019.06.25,5,/fightcenter/events/59494-dw-s-contender-series-2019-week-2
79,UFC on ESPN+ 12,Moicano vs. Korean Zombie,2019.06.22,11,/fightcenter/events/57512-ufc-on-espn-11
80,Contender Series 2019,Week 1,2019.06.18,4,/fightcenter/events/59493-dw-s-contender-series-2019-week-1
81,UFC 238,Cejudo vs. Moraes,2019.06.08,13,/fightcenter/events/58449-ufc-238
82,UFC on ESPN+ 11,Gustafsson vs. Smith,2019.06.01,12,/fightcenter/events/57510-ufc-on-espn-10
85,UFC on ESPN+ 10,Dos Anjos vs. Lee,2019.05.18,13,/fightcenter/events/57509-ufc-on-espn-9
86,UFC 237,Namajunas vs. Andrade,2019.05.11,12,/fightcenter/events/57508-ufc-237
87,UFC on ESPN+ 9,Iaquinta vs. Cowboy,2019.05.04,12,/fightcenter/events/57507-ufc-on-espn-8
89,UFC on ESPN+ 8,Jacare vs. Hermansson,2019.04.27,13,/fightcenter/events/57506-ufc-on-espn-3
91,UFC on ESPN+ 7,Overeem vs. Oleinik,2019.04.20,11,/fightcenter/events/57505-ufc-on-espn-7
92,UFC 236,Holloway vs. Poirier 2,2019.04.13,13,/fightcenter/events/57504-ufc-236
93,UFC on ESPN 2,Barboza vs. Gaethje,2019.03.30,13,/fightcenter/events/56354-ufc-fight-night-150
94,UFC on ESPN+ 6,Thompson vs. Pettis,2019.03.23,12,/fightcenter/events/56353-ufc-fight-night-149
95,UFC on ESPN+ 5,Till vs. Masvidal,2019.03.16,12,/fightcenter/events/56327-ufc-fight-night
96,UFC on ESPN+ 4,Lewis vs. Dos Santos,2019.03.09,13,/fightcenter/events/56352-ufc-fight-night-147
97,UFC 235,Jones vs. Smith,2019.03.02,12,/fightcenter/events/56351-ufc-235
99,UFC on ESPN+ 3,Błachowicz vs. Santos,2019.02.23,13,/fightcenter/events/56350-ufc-fight-night-146
100,UFC on ESPN 1,N'Gannou vs. Velasquez,2019.02.17,12,/fightcenter/events/56349-ufc-fight-night-145
101,UFC 234,Silva vs. Adesanya,2019.02.09,11,/fightcenter/events/56334-ufc-234
102,UFC on ESPN+ 2,Assunção vs. Moraes 2,2019.02.02,13,/fightcenter/events/56348-ufc-fight-night-144
103,UFC 233,,2019.01.26,0,/fightcenter/events/56262-ufc-233
104,UFC on ESPN+ 1,Cejudo vs. Dillashaw,2019.01.19,13,/fightcenter/events/55048-ufc-fight-night
106,UFC 232,Jones vs. Gustafsson 2,2018.12.29,13,/fightcenter/events/49923-ufc-232
107,UFC on FOX 31,Lee vs. Iaquinta 2,2018.12.15,12,/fightcenter/events/54138-ufc-fight-night-143
108,UFC 231,Holloway vs. Ortega,2018.12.08,13,/fightcenter/events/54119-ufc-231
109,UFC Fight Night 142,Dos Santos vs. Tuivasa,2018.12.01,12,/fightcenter/events/54137-ufc-fight-night-142
111,UFC Fight Night 141,Blaydes vs. N'Gannou 2,2018.11.24,12,/fightcenter/events/54135-ufc-fight-night-141
112,UFC Fight Night 140,Magny vs. Ponzinibbio,2018.11.17,12,/fightcenter/events/54134-ufc-fight-night-140
113,UFC Fight Night 139,Korean Zombie vs. Rodriguez,2018.11.10,12,/fightcenter/events/53520-ufc-fight-night
114,UFC 230,Cormier vs. Lewis,2018.11.03,12,/fightcenter/events/53519-ufc-230
115,UFC Fight Night 138,Volkan vs. Smith,2018.10.27,13,/fightcenter/events/53697-ufc-fight-night
117,UFC 229,Khabib vs. McGregor,2018.10.06,12,/fightcenter/events/49922-ufc-229
119,UFC Fight Night 137,Santos vs. Anders,2018.09.22,14,/fightcenter/events/53984-ufc-fight-night-137
120,UFC Fight Night 136,Hunt vs. Oleinik,2018.09.15,12,/fightcenter/events/53264-ufc-fight-night
121,UFC 228,Woodley vs. Till,2018.09.08,13,/fightcenter/events/53597-ufc-228
123,UFC Fight Night 135,Gaethje vs. Vick,2018.08.25,13,/fightcenter/events/52393-ufc-fight-night
125,UFC 227,Dillashaw vs. Garbrandt 2,2018.08.04,12,/fightcenter/events/52344-ufc-227
126,UFC on FOX 30,Alvarez vs. Poirier 2,2018.07.28,13,/fightcenter/events/52629-ufc-on-fox-30
128,UFC Fight Night 134,Shogun vs. Smith,2018.07.22,13,/fightcenter/events/52081-ufc-fight-night
130,UFC Fight Night 133,Dos Santos vs. Ivanov,2018.07.14,13,/fightcenter/events/52391-ufc-fight-night-133
131,UFC 226,Miocic vs. Cormier,2018.07.07,11,/fightcenter/events/49921-ufc-226
133,UFC Fight Night 132,Cowboy vs. Edwards,2018.06.23,13,/fightcenter/events/51323-ufc-fight-night
135,UFC 225,Whittaker vs. Romero 2,2018.06.09,13,/fightcenter/events/50751-ufc-225
136,UFC Fight Night 131,Rivera vs. Moraes,2018.06.01,12,/fightcenter/events/50754-ufc-fight-night
137,UFC Fight Night 130,Thompson vs. Till,2018.05.27,11,/fightcenter/events/51805-ufc-fight-night
138,UFC Fight Night 129,Maia vs. Usman,2018.05.19,13,/fightcenter/events/50992-ufc-fight-night
139,UFC 224,Nunes vs. Pennington,2018.05.12,13,/fightcenter/events/50243-ufc-224
140,UFC Fight Night 128,Barboza vs. Lee,2018.04.21,11,/fightcenter/events/50670-ufc-fight-night
141,UFC on FOX 29,Poirier vs. Gaethje,2018.04.14,14,/fightcenter/events/50283-ufc-fight-night
143,UFC 223,Khabib vs. Iaquinta,2018.04.07,9,/fightcenter/events/50149-ufc-223
144,UFC Fight Night 127,Werdum vs. Volkov,2018.03.17,10,/fightcenter/events/49029-ufc-fight-night-129
145,UFC 222,Cyborg vs. Kunitskaya,2018.03.03,12,/fightcenter/events/48689-ufc-222
147,UFC on FOX 28,Emmett vs. Stephens,2018.02.24,12,/fightcenter/events/49028-ufc-fight-night-128
150,UFC Fight Night 126,Cowboy vs. Medeiros,2018.02.18,12,/fightcenter/events/49027-ufc-fight-night-127
153,UFC 221,Romero vs. Rockhold,2018.02.10,12,/fightcenter/events/48688-ufc-221
156,UFC Fight Night 125,Machida vs. Anders,2018.02.03,11,/fightcenter/events/48880-ufc-fight-night-125
157,UFC on FOX 27,Jacare vs. Brunson 2,2018.01.27,12,/fightcenter/events/49007-ufc-fight-night-125
158,UFC 220,Miocic vs. N'Gannou,2018.01.20,11,/fightcenter/events/48687-ufc-220
159,UFC Fight Night 124,Stephens vs. Choi,2018.01.14,11,/fightcenter/events/48676-ufc
160,UFC 219,Cyborg vs. Holm,2017.12.30,10,/fightcenter/events/47258-ufc-219
161,UFC on FOX 26,Lawler vs. Dos Anjos,2017.12.16,11,/fightcenter/events/47257-ufc-fight-night
162,UFC Fight Night 123,Swanson vs. Ortega,2017.12.09,13,/fightcenter/events/47256-ufc-fight-night
163,UFC 218,Holloway vs. Aldo 2,2017.12.02,13,/fightcenter/events/47255-ufc-218
165,UFC Fight Night 122,Bisping vs. Gastelum,2017.11.25,12,/fightcenter/events/47252-ufc-fight-night
167,UFC Fight Night 121,Werdum vs. Tybura,2017.11.18,13,/fightcenter/events/46847-ufc-fight-night
168,UFC Fight Night 120,Poirier vs. Pettis,2017.11.11,13,/fightcenter/events/47253-ufc-fight-night
169,UFC 217,Bisping vs. St. Pierre,2017.11.04,11,/fightcenter/events/46980-ufc
170,UFC Fight Night 119,Machida vs. Brunson,2017.10.28,12,/fightcenter/events/47279-ufc-fight-night-119
171,UFC Fight Night 118,Cowboy vs. Till,2017.10.21,11,/fightcenter/events/44729-ufc-fight-night
172,UFC 216,Ferguson vs. Lee,2017.10.07,11,/fightcenter/events/46805-ufc-216
173,UFC Fight Night 117,St. Preux vs. Okami,2017.09.22,10,/fightcenter/events/45800-ufc-fight-night
174,UFC Fight Night 116,Rockhold vs. Branch,2017.09.16,10,/fightcenter/events/46943-ufc-fight-night-116
175,UFC 215,Nunes vs. Shevchenko 2,2017.09.09,11,/fightcenter/events/44084-ufc-216
176,UFC Fight Night 115,Volkov vs. Struve,2017.09.02,12,/fightcenter/events/44728-ufc-fight-night
181,UFC Fight Night 114,Pettis vs. Moreno,2017.08.05,12,/fightcenter/events/45713-ufc-fight-night
184,UFC 214,Cormier vs. Jones 2,2017.07.29,12,/fightcenter/events/44395-ufc-214
187,UFC on FOX 25,Weidman vs. Gastelum,2017.07.22,13,/fightcenter/events/44942-ufc-fight-night
189,UFC Fight Night 113,Nelson vs. Ponzinibbio,2017.07.16,12,/fightcenter/events/44634-ufc-fight-night
190,UFC 213,Romero vs. Whittaker,2017.07.08,11,/fightcenter/events/44083-ufc-213
192,UFC Fight Night 112,Chiesa vs. Lee,2017.06.25,13,/fightcenter/events/44840-ufc-fight-night-112
193,UFC Fight Night 111,Holm vs. Correia,2017.06.17,12,/fightcenter/events/44376-ufc-fight-night
194,UFC Fight Night 110,Lewis vs. Hunt,2017.06.10,11,/fightcenter/events/44562-ufc-fight-night-110
195,UFC 212,Aldo vs. Holloway,2017.06.03,12,/fightcenter/events/44080-ufc-212
196,UFC Fight Night 109,Gustafsson vs. Teixeira,2017.05.28,12,/fightcenter/events/44414-ufc-fight-night
197,UFC 211,Miocic vs. Dos Santos 2,2017.05.13,12,/fightcenter/events/43945-ufc-211
199,UFC Fight Night 108,Swanson vs. Lobov,2017.04.22,13,/fightcenter/events/44240-ufc-fight-night-108
200,UFC on FOX 24,Johnson vs. Reis,2017.04.15,13,/fightcenter/events/43966-ufc-fight-night
201,UFC 210,Cormier vs. Johnson 2,2017.04.08,13,/fightcenter/events/43812-ufc-210
202,UFC Fight Night 107,Manuwa vs. Anderson,2017.03.18,11,/fightcenter/events/42681-ufc
203,UFC Fight Night 106,Belfort vs. Gastelum,2017.03.11,12,/fightcenter/events/42700-ufc-fight-night
204,UFC 209,Woodley vs. Thompson 2,2017.03.04,11,/fightcenter/events/42699-ufc-210
205,UFC Fight Night 106,,2017.03.03,0,/fightcenter/events/42708-ufc-fight-night
209,UFC Fight Night 105,Lewis vs. Browne,2017.02.19,11,/fightcenter/events/42677-ufc-fight-night
211,UFC 208,Holm vs. de Randamie,2017.02.11,10,/fightcenter/events/42698-ufc-209
215,UFC Fight Night 104,Bermudez vs. Korean Zombie,2017.02.04,12,/fightcenter/events/42635-ufc
218,UFC on FOX 23,Shevchenko vs. Peña,2017.01.28,12,/fightcenter/events/42697-ufc-on-fox-23
219,UFC 208,,2017.01.21,0,/fightcenter/events/42696-ufc-208
220,UFC Fight Night 103,Rodriguez vs. Penn,2017.01.15,12,/fightcenter/events/42582-ufc-fight-night
221,UFC 207,Nunes vs. Rousey,2016.12.30,10,/fightcenter/events/41373-ufc-207
223,UFC on FOX 22,VanZant vs. Waterson,2016.12.17,13,/fightcenter/events/41372-ufc-fight-night
224,UFC 206,Holloway vs. Pettis,2016.12.10,12,/fightcenter/events/41371-ufc-206
225,UFC Fight Night 102,Lewis vs. Abdurakhimov,2016.12.09,12,/fightcenter/events/41370-ufc-fight-night
227,UFC Fight Night 101,Whittaker vs. Brunson,2016.11.26,13,/fightcenter/events/41369-ufc-fight-night
228,UFC Fight Night 100,Bader vs. Nogueira 2,2016.11.19,12,/fightcenter/events/41368-ufc-fight-night
229,UFC Fight Night 99,Mousasi vs. Hall 2,2016.11.19,13,/fightcenter/events/41367-ufc-fight-night
230,UFC 205,Alvarez vs. McGregor,2016.11.12,11,/fightcenter/events/39362-ufc
231,UFC Fight Night 98,Dos Anjos vs. Ferguson,2016.11.05,13,/fightcenter/events/41075-ufc-fight-night
233,UFC Fight Night 97,,2016.10.15,0,/fightcenter/events/40499-ufc-fight-night
234,UFC 204,Bisping vs. Henderson 2,2016.10.08,11,/fightcenter/events/40792-ufc-204
235,UFC Fight Night 96,Lineker vs. Dodson,2016.10.01,12,/fightcenter/events/40949-ufc-fight-night
236,UFC Fight Night 95,Cyborg vs. Lansberg,2016.09.24,13,/fightcenter/events/40418-ufc-fight-night
237,UFC Fight Night 94,Poirier vs. Johnson,2016.09.17,12,/fightcenter/events/40816-ufc-fight-night-94
238,UFC 203,Miocic vs. Overeem,2016.09.10,10,/fightcenter/events/40102-ufc-203-miocic-vs-overeem
239,UFC Fight Night 93,Arlovski vs. Barnett,2016.09.03,11,/fightcenter/events/39753-ufc-fight-night
240,UFC on FOX 21,Maia vs. Condit,2016.08.27,10,/fightcenter/events/40403-ufc-on-fox-21
241,UFC 202,Diaz vs. McGregor 2,2016.08.20,12,/fightcenter/events/39739-ufc-202
244,UFC Fight Night 92,Caceres vs. Rodriguez,2016.08.06,12,/fightcenter/events/40152-ufc-fight-night-92
246,UFC 201,Lawler vs. Woodley,2016.07.30,11,/fightcenter/events/39712-ufc-201
249,UFC on FOX 20,Holm vs. Shevchenko,2016.07.23,11,/fightcenter/events/39076-ufc-on-fox-20
253,UFC Fight Night 91,McDonald vs. Lineker,2016.07.13,12,/fightcenter/events/39393-ufc-fight-night-91
255,UFC 200,Tate vs. Nunes,2016.07.09,12,/fightcenter/events/35220-ufc-200
257,UFC Fight Night 90,Dos Anjos vs. Alvarez,2016.07.07,12,/fightcenter/events/38670-ufc-fight-night
258,UFC Fight Night 89,MacDonald vs. Thompson,2016.06.18,13,/fightcenter/events/38667-ufc-fight-night
259,UFC 199,Rockhold vs. Bisping 2,2016.06.04,13,/fightcenter/events/38668-ufc-199-rockhold-vs-weidman-2
260,UFC Fight Night 88,Almeida vs. Garbrandt,2016.05.29,12,/fightcenter/events/38669-ufc-fight-night-88
261,UFC 198,Werdum vs. Miocic,2016.05.14,12,/fightcenter/events/37906-ufc-fight-night-87-jacare-vs-belfort
262,UFC Fight Night 87,Overeem vs. Arlovski,2016.05.08,13,/fightcenter/events/37671-ufc-fight-night
264,UFC 197,Jones vs. Saint Preux,2016.04.23,12,/fightcenter/events/36847-ufc-198
265,UFC on FOX 19,Teixeira vs. Evans,2016.04.16,11,/fightcenter/events/38076-ufc-on-fox-19
266,UFC Fight Night 86,Rothwell vs. Dos Santos,2016.04.10,13,/fightcenter/events/37670-ufc-fight-night-85
267,UFC Fight Night 85,Hunt vs. Mir,2016.03.19,12,/fightcenter/events/36756-ufc-fight-night
268,UFC 196,McGregor vs. Diaz,2016.03.05,12,/fightcenter/events/36627-ufc-197
271,UFC Fight Night 84,Silva vs. Bisping,2016.02.27,13,/fightcenter/events/35496-ufc-fight-night
274,UFC Fight Night 83,Cowboy vs. Cowboy,2016.02.21,13,/fightcenter/events/35520-ufc-fight-night-82
279,UFC Fight Night 82,Hendricks vs. Thompson,2016.02.06,12,/fightcenter/events/36542-ufc-196
282,UFC on FOX 18,Johnson vs. Bader,2016.01.30,13,/fightcenter/events/35501-ufc-on-fox-18
284,UFC Fight Night 81,Dillashaw vs. Cruz,2016.01.17,13,/fightcenter/events/35374-ufc-fight-night-pettis-vs-alvarez
285,UFC 195,Lawler vs. Condit,2016.01.02,12,/fightcenter/events/34862-ufc-195-rousey-vs-holm
