,event,name,date,bouts,link
425,UFC Fight Night 35,Rockhold vs. Philippou,2014.01.15,12,/fightcenter/events/21505-ufc-fight-night-35
426,UFC Fight Night 34,Saffiedine vs. Lim,2014.01.04,10,/fightcenter/events/20473-ufc-singapore
427,UFC 168,Weidman vs. Silva 2,2013.12.28,11,/fightcenter/events/19667-ufc-168-rousey-vs-tate-2
428,UFC on FOX 9,Johnson vs. Benavidez 2,2013.12.14,11,/fightcenter/events/16683-ufc-on-fox-9
429,UFC Fight Night 33,Hunt vs. Bigfoot,2013.12.06,11,/fightcenter/events/20537-ufc-fight-night-hunt-vs-bigfoot
433,UFC 167,St. Pierre vs. Hendricks,2013.11.16,12,/fightcenter/events/19524-ufc-167-st-pierre-vs-hendricks
436,UFC Fight Night 32,Belfort vs. Henderson 2,2013.11.09,11,/fightcenter/events/20217-ufc
439,UFC Fight Night 31,Fight for the Troops 3,2013.11.06,13,/fightcenter/events/19692-ufc-fight-for-the-troops
443,UFC Fight Night 30,Machida vs. Munoz,2013.10.26,12,/fightcenter/events/19801-ufc-on-fox-sports-1-bisping-vs-munoz
445,UFC 166,Velasquez vs. Dos Santos 3,2013.10.19,13,/fightcenter/events/19525-ufc-166-velasquez-vs-dos-santos-3
447,UFC Fight Night 29,Maia vs. Shields,2013.10.09,10,/fightcenter/events/19846-ufc-on-fox-sports-1
448,UFC 165,Jones vs. Gustafsson,2013.09.21,13,/fightcenter/events/19128-ufc-165
449,UFC Fight Night 28,Teixeira vs. Bader,2013.09.04,11,/fightcenter/events/18971-ufc-on-fox-sports-1-2
450,UFC 164,Henderson vs. Pettis 2,2013.08.31,12,/fightcenter/events/18192-ufc-164
451,UFC Fight Night 27,Condit vs. Kampmann 2,2013.08.28,12,/fightcenter/events/19033-ufc-on-fox-sports-1-2
452,UFC Fight Night 26,Shogun vs. Sonnen,2013.08.17,13,/fightcenter/events/18384-ufc-on-fox-sports-1
453,UFC 163,Aldo vs. Korean Zombie,2013.08.03,12,/fightcenter/events/17693-ufc-aldo-vs-pettis
454,UFC on FOX 8,Johnson vs. Moraga,2013.07.27,12,/fightcenter/events/16682-ufc-on-fox-8
455,UFC 162,Silva vs. Weidman,2013.07.06,11,/fightcenter/events/17854-ufc-162-silva-vs-weidman
461,UFC 161,Evans vs. Henderson,2013.06.15,11,/fightcenter/events/17939-ufc-161
463,UFC on FUEL TV 10,Nogueira vs. Werdum 2,2013.06.08,12,/fightcenter/events/17915-ufc-on-fx-9-nogueira-vs-werdum
466,UFC 160,Velasquez vs. Silva 2,2013.05.25,12,/fightcenter/events/17601-ufc
467,UFC on FX 8,Belfort vs. Rockhold,2013.05.18,13,/fightcenter/events/17761-ufc-on-fx-8-belfort-vs-rockhold
468,UFC 159,Jones vs. Sonnen,2013.04.27,11,/fightcenter/events/16681-ufc-jones-vs-sonnen
469,UFC on FOX 7,Henderson vs. Melendez,2013.04.20,12,/fightcenter/events/16680-ufc-on-fox-7
471,UFC on FUEL TV 9,Mousasi vs. Latifi,2013.04.06,13,/fightcenter/events/17537-ufc-on-fuel-tv-9-gustafsson-vs-mousasi
472,UFC 158,St. Pierre vs. Diaz,2013.03.16,12,/fightcenter/events/17129-ufc-158
473,UFC on FUEL TV 8,Silva vs. Stann,2013.03.02,11,/fightcenter/events/16905-ufc-on-fuel-tv-8
474,UFC 157,Rousey vs. Carmouche,2013.02.23,12,/fightcenter/events/16791-ufc-157
475,UFC on FUEL TV 7,Barao vs. McDonald,2013.02.16,12,/fightcenter/events/16679-ufc-on-fuel-tv-7
476,UFC 156,Aldo vs. Edgar,2013.02.02,11,/fightcenter/events/16542-ufc-157
477,UFC on FOX 6,Johnson vs. Dodson,2013.01.26,11,/fightcenter/events/16667-ufc-on-fox-6
478,UFC on FX 7,Belfort vs. Bisping,2013.01.19,11,/fightcenter/events/16549-ufc-156
479,UFC 155,Dos Santos vs. Velasquez 2,2012.12.29,12,/fightcenter/events/15171-ufc-155-dos-santos-vs-velasquez-2
481,UFC on FX 6,Sotiropoulos vs. Pearson,2012.12.14,10,/fightcenter/events/15726-ufc-on-fx-6
483,UFC on FOX 5,Henderson vs. Diaz,2012.12.08,11,/fightcenter/events/14399-ufc-on-fox-5
488,UFC 154,St. Pierre vs. Condit,2012.11.17,12,/fightcenter/events/13141-ufc-154
492,UFC on FUEL TV 6,Franklin vs. Le,2012.11.10,9,/fightcenter/events/14619-ufc-on-fuel-tv-6
496,UFC 153,Silva vs. Bonnar,2012.10.13,12,/fightcenter/events/14431-ufc-153
497,UFC on FX 5,Browne vs. Silva,2012.10.05,10,/fightcenter/events/14104-ufc-on-fx-5
498,UFC on FUEL TV 5,Struve vs. Miocic,2012.09.29,11,/fightcenter/events/14292-ufc-153
499,UFC 152,Jones vs. Belfort,2012.09.22,12,/fightcenter/events/13140-ufc-152
503,UFC 151,Bones vs. Hendo,2012.09.01,0,/fightcenter/events/13825-ufc-151-jones-vs-henderson
509,UFC 150,Henderson vs. Edgar 2,2012.08.11,10,/fightcenter/events/13684-ufc-150
512,UFC on FOX 4,Shogun vs. Vera,2012.08.04,10,/fightcenter/events/12572-ufc-on-fox-4
513,UFC 149,Faber vs. Barao,2012.07.21,11,/fightcenter/events/12776-ufc-149
514,UFC on FUEL TV 4,Munoz vs. Weidman,2012.07.11,11,/fightcenter/events/13665-ufc-on-fuel-tv-4-munoz-vs-weidman
515,UFC 148,Silva vs. Sonnen 2,2012.07.07,11,/fightcenter/events/12574-ufc-148
516,UFC 147,Silva vs. Franklin 2,2012.06.23,11,/fightcenter/events/12573-ufc-147
517,UFC on FX 4,Guida vs. Maynard,2012.06.22,12,/fightcenter/events/13105-ufc-on-fx-4
518,UFC on FX 3,Johnson vs. McCall,2012.06.08,12,/fightcenter/events/12575-ufc-on-fx-3
520,UFC 146,Dos Santos vs. Mir,2012.05.26,12,/fightcenter/events/12168-ufc-146
521,UFC on FUEL TV 3,Korean Zombie vs. Poirier,2012.05.15,12,/fightcenter/events/12320-ufc-on-fx-3
522,UFC on FOX 3,Diaz vs. Miller,2012.05.05,12,/fightcenter/events/12189-ufc-on-fox
523,UFC 145,Jones vs. Evans,2012.04.21,12,/fightcenter/events/11785-ufc-145
524,UFC on FUEL TV 2,Silva vs. Gustafsson,2012.04.14,12,/fightcenter/events/12026-ufc-on-fuel-tv-2
526,UFC on FX 2,Alves vs. Kampmann,2012.03.02,11,/fightcenter/events/11619-ufc-on-fx-2
527,UFC 144,Edgar vs. Henderson,2012.02.25,12,/fightcenter/events/11293-ufc-144
528,UFC on FUEL TV 1,Ellenberger vs. Sanchez,2012.02.15,9,/fightcenter/events/11618-ufc-on-fuel-tv-1
529,UFC 143,Diaz vs. Condit,2012.02.04,11,/fightcenter/events/11221-ufc-143
530,UFC on FOX 2,Evans vs. Davis,2012.01.28,10,/fightcenter/events/11400-ufc-on-fox-2
531,UFC on FX 1,Guillard vs. Miller,2012.01.20,10,/fightcenter/events/11366-ufc-on-fx-1
532,UFC 142,Aldo vs. Mendes,2012.01.14,10,/fightcenter/events/11196-ufc-142
533,UFC 141,Lesnar vs. Overeem,2011.12.30,10,/fightcenter/events/10738-ufc-141
535,UFC 140,Jones vs. Machida,2011.12.10,12,/fightcenter/events/10374-ufc-140
537,UFC 139,Shogun vs. Henderson,2011.11.19,12,/fightcenter/events/9822-ufc-138
538,UFC on FOX 1,Velasquez vs. Dos Santos,2011.11.12,10,/fightcenter/events/10569-ufc-on-fox-1
539,UFC 138,Leben vs. Munoz,2011.11.05,10,/fightcenter/events/10235-ufc-138
540,UFC 137,Penn vs. Diaz,2011.10.29,11,/fightcenter/events/9660-ufc-137-st-pierre-vs-diaz
541,UFC 136,Edgar vs Maynard 3,2011.10.08,11,/fightcenter/events/9765-ufc-136
542,UFC on Versus 6,Cruz vs. Johnson,2011.10.01,10,/fightcenter/events/10195-ufc-on-versus-6
543,UFC 135,Jones vs. Rampage,2011.09.24,10,/fightcenter/events/9686-ufc-135
544,UFC Fight Night 25,Battle on the Bayou,2011.09.17,12,/fightcenter/events/ufc-fight-night-25-battle-on-the-bayou
545,UFC 134,Silva vs. Okami,2011.08.27,12,/fightcenter/events/ufc-134-silva-vs-okami
546,UFC on Versus 5,Hardy vs. Lytle,2011.08.14,12,/fightcenter/events/ufc-on-versus-5
547,UFC 133,Evans vs. Ortiz 2,2011.08.06,11,/fightcenter/events/ufc-133
548,UFC 132,Cruz vs Faber II,2011.07.02,11,/fightcenter/events/ufc-132-cruz-vs-faber-ii
549,UFC on Versus 4,Barry vs. Kongo,2011.06.26,11,/fightcenter/events/ufc-on-versus-4-marquardt-vs-johnson
550,UFC 131,Carwin vs. Dos Santos,2011.06.11,12,/fightcenter/events/ufc-131-lesnar-vs-dos-santos
552,UFC 130,Rampage vs Hamill,2011.05.28,10,/fightcenter/events/ufc-130-edgar-vs-maynard-3
553,UFC 129,St. Pierre vs. Shields,2011.04.30,12,/fightcenter/events/ufc-129-st-pierre-vs-shields
554,UFC Fight Night 24,Nogueira vs. Davis,2011.03.26,12,/fightcenter/events/ufc-fight-night-24
555,UFC 128,Shogun vs Jones,2011.03.19,12,/fightcenter/events/ufc-128-shogun-vs-jones
556,UFC 128,(cancelled),2011.03.12,0,/fightcenter/events/ufc-128-cancelled
557,UFC on Versus 3,Sanchez vs Kampmann,2011.03.03,11,/fightcenter/events/ufc-on-versus-3-sanchez-vs-kampmann
559,UFC 127,Penn vs Fitch,2011.02.26,12,/fightcenter/events/ufc-127-penn-vs-fitch
566,UFC 126,Silva vs. Belfort,2011.02.05,11,/fightcenter/events/ufc-126-silva-vs-belfort
570,UFC Fight Night 23,Fight for the Troops 2,2011.01.22,11,/fightcenter/events/ufc-fight-night-23-fight-for-the-troops-2
571,UFC 125,Resolution,2011.01.01,11,/fightcenter/events/ufc-125-resolution
572,UFC 124,St. Pierre vs. Koscheck 2,2010.12.11,11,/fightcenter/events/ufc-124-st-pierre-vs-koscheck-2
574,UFC 123,Rampage vs. Machida,2010.11.20,11,/fightcenter/events/ufc-123-rampage-vs-machida
575,UFC 122,Marquardt vs. Okami,2010.11.13,10,/fightcenter/events/ufc-122-marquardt-vs-okami
576,UFC 121,Lesnar vs. Velasquez,2010.10.23,11,/fightcenter/events/ufc-121-lesnar-vs-velasquez
577,UFC 120,Bisping vs. Akiyama,2010.10.16,10,/fightcenter/events/ufc-120-bisping-vs-akiyama
578,UFC 119,Mir vs Cro Cop,2010.09.25,11,/fightcenter/events/ufc-119-mir-vs-cro-cop
579,UFC Fight Night 22,Marquardt vs. Palhares,2010.09.15,10,/fightcenter/events/ufc-fight-night-22
580,UFC 118,Edgar vs. Penn 2,2010.08.28,10,/fightcenter/events/ufc-118-edgar-vs-penn-2
581,UFC 117,Silva vs Sonnen,2010.08.07,11,/fightcenter/events/ufc-117-silva-vs-sonnen
582,UFC on Versus 2,Jones vs. Matyushenko,2010.08.01,10,/fightcenter/events/ufc-on-versus-2-jones-vs-matyushenko
586,UFC 116,Lesnar vs Carwin,2010.07.03,11,/fightcenter/events/ufc-116-lesnar-vs-carwin
594,UFC 115,Liddell vs Franklin,2010.06.12,11,/fightcenter/events/ufc-115-liddell-vs-franklin
597,UFC 114,Jackson vs Evans,2010.05.29,11,/fightcenter/events/ufc-114-jackson-vs-evans
598,UFC 113,Machida vs Shogun 2,2010.05.08,11,/fightcenter/events/ufc-113-machida-vs-shogun-2
599,UFC 112,Invincible,2010.04.10,10,/fightcenter/events/ufc-112-invincible
600,UFC Fight Night 21,Florian vs Gomi,2010.03.31,11,/fightcenter/events/ufc-fight-night-21-florian-vs-gomi
601,UFC 111,St-Pierre vs Hardy,2010.03.27,10,/fightcenter/events/ufc-111-st-pierre-vs-hardy
602,UFC on Versus 1,Vera vs Jones,2010.03.21,11,/fightcenter/events/ufc-on-versus-1-vera-vs-jones
603,UFC 110,Nogueira vs. Velasquez,2010.02.20,9,/fightcenter/events/ufc-110-nogueira-vs-velasquez
604,UFC 109,Relentless,2010.02.06,11,/fightcenter/events/ufc-109-relentless
606,UFC Fight Night 20,Maynard vs Diaz,2010.01.11,11,/fightcenter/events/ufc-fight-night-20-maynard-vs-diaz
607,UFC 108,Evans vs Silva,2010.01.02,10,/fightcenter/events/ufc-108-evans-vs-silva
608,UFC 107,Penn vs. Sanchez,2009.12.12,11,/fightcenter/events/ufc-107-penn-vs-sanchez
610,UFC 106,Ortiz vs Griffin 2,2009.11.21,10,/fightcenter/events/ufc-106-ortiz-vs-griffin-2
611,UFC 105,Couture vs Vera,2009.11.14,11,/fightcenter/events/ufc-105-couture-vs-vera
612,UFC 104,Machida vs Shogun,2009.10.24,11,/fightcenter/events/ufc-104-machida-vs-shogun
613,UFC 103,Franklin vs. Belfort,2009.09.19,13,/fightcenter/events/ufc-103-franklin-vs-belfort
614,UFC Fight Night 19,Diaz vs. Guillard,2009.09.16,10,/fightcenter/events/ufc-fight-night-19-diaz-vs-guillard
615,UFC 102,Couture vs. Nogueira,2009.08.29,11,/fightcenter/events/ufc-102-couture-vs-nogueira
616,UFC 101,Declaration,2009.08.08,11,/fightcenter/events/ufc-101-declaration
617,UFC 100,,2009.07.11,11,/fightcenter/events/ufc-100
625,UFC 99,The Comeback,2009.06.13,12,/fightcenter/events/ufc-99-the-comeback
629,UFC 98,Evans vs. Machida,2009.05.23,11,/fightcenter/events/ufc-98-evans-vs-machida
630,UFC 97,Redemption,2009.04.18,12,/fightcenter/events/ufc-97-redemption
631,UFC Fight Night 18,Condit vs. Kampmann,2009.04.01,11,/fightcenter/events/ufc-fight-night-18-condit-vs-kampmann
